model;rok;cena;cena_srednia;cena_procent;przebieg;przebieg_sredni;przebieg_procent;link
Alfa-Romeo Mito;2009;3.3111111111111113;3.82;-13.3;88;169.54;-48.1;otomoto.pl/osobowe/oferta/alfa-romeo-mito-zadbany-samochod-z-niewielkim-przebiegiem-ID6GD95o.html
Alfa-Romeo Mito;2010;3.933333333333333;4.66;-15.6;158;175.0;-9.7;otomoto.pl/osobowe/oferta/alfa-romeo-mito-mito-1-4-turbo-klima-elektryka-gwarancja-piekna-ID6Gvhnu.html
Alfa-Romeo Mito;2013;4.199999999999999;5.04;-16.7;108;146.0;-26.0;otomoto.pl/osobowe/oferta/alfa-romeo-mito-alfa-romeo-mito-0-9t-2013r-stan-b-dobry-ID6GCMVH.html
Alfa-Romeo Stelvio;2019;26.666222222222224;28.5;-6.4;68;86.36;-21.3;otomoto.pl/osobowe/oferta/alfa-romeo-stelvio-salon-polska-fv23-gwarancja-serwisowa-q4-102357-netto-ID6GxXAW.html
Alfa-Romeo Stelvio;2020;32.888888888888886;35.63;-7.7;41;59.0;-30.5;otomoto.pl/osobowe/oferta/alfa-romeo-stelvio-alfa-romeo-stelvio-ti-sport-q4-panorama-super-stan-ID6GyHEm.html
Alfa-Romeo Stelvio;2018;23.77777777777778;26.1;-8.9;50;104.12;-52.0;otomoto.pl/osobowe/oferta/alfa-romeo-stelvio-alfa-romeo-stelvio-2-0t-salon-polska-1-rej-2020r-faktura-vat-23-ID6GAfOk.html
Alfa-Romeo Stelvio;2018;22.19977777777778;26.1;-14.9;79;104.12;-24.1;otomoto.pl/osobowe/oferta/alfa-romeo-stelvio-salon-polska-fv23-gwarancja-serwisowa-q4-81-219-netto-ID6Gsvw4.html
Alfa-Romeo Stelvio;2020;30.0;35.63;-15.8;53;59.0;-10.2;otomoto.pl/osobowe/oferta/alfa-romeo-stelvio-salon-polska-gwarancja-business-q4-bogate-wyposazenie-2021-ID6FEbpc.html
Alfa-Romeo Stelvio;2017;19.555555555555557;23.39;-16.4;100;127.38;-21.5;otomoto.pl/osobowe/oferta/alfa-romeo-stelvio-alfa-romeo-stelvio-q4-krajowa-serwisowana-naped-na-4-kola-hak-ID6GBDfJ.html
Alfa-Romeo Stelvio;2018;19.977777777777778;26.1;-23.5;92;104.12;-11.6;otomoto.pl/osobowe/oferta/alfa-romeo-stelvio-stelvio-280km-4x4-automat-xenon-nawigacja-skory-kamera-ID6GDKxg.html
Alfa-Romeo Tonale;2023;34.422222222222224;37.64;-8.5;5;7.16;-30.2;otomoto.pl/osobowe/oferta/alfa-romeo-tonale-1-5-t4-130km-mhev-dct-5-lat-gwarancji-leasing-od-101-ID6G4hdY.html
Alfa-Romeo Tonale;2023;34.422222222222224;37.64;-8.5;5;7.16;-30.2;otomoto.pl/osobowe/oferta/alfa-romeo-tonale-1-5-t4-130km-mhev-dct-sprint-5-lat-gwarancji-leasing-od-101-ID6GsOuq.html
Alfa-Romeo Tonale;2023;34.422222222222224;37.64;-8.5;1;7.16;-86.0;otomoto.pl/osobowe/oferta/alfa-romeo-tonale-oferta-miesiaca-154900zl-brembo-pakiet-adas-winter-5-lat-gwar-ID6G3LKT.html
Alfa-Romeo Tonale;2023;34.422222222222224;37.64;-8.5;1;7.16;-86.0;otomoto.pl/osobowe/oferta/alfa-romeo-tonale-nowa-cena-154900-zl-z-gwarancja-do-2029-roku-ID6GhFPL.html
Alfa-Romeo Tonale;2023;32.86666666666667;37.64;-12.7;5;7.16;-30.2;otomoto.pl/osobowe/oferta/alfa-romeo-tonale-sprint-1-5-130km-hybrid-61238-ID6GfdgP.html
Alfa-Romeo Tonale;2023;31.977777777777778;37.64;-15.0;5;7.16;-30.2;otomoto.pl/osobowe/oferta/alfa-romeo-tonale-sprint-1-5-130km-62201-ID6G75yZ.html
Alfa-Romeo Tonale;2022;28.866666666666667;34.23;-15.7;7;13.38;-47.7;otomoto.pl/osobowe/oferta/alfa-romeo-tonale-edizione-speciale-1-5-160ps-mhev-fv-vat-23-ID6GAO4B.html
Alfa-Romeo Tonale;2023;31.08888888888889;37.64;-17.4;2;7.16;-72.1;otomoto.pl/osobowe/oferta/alfa-romeo-tonale-ID6Gh75I.html
Audi A1;2021;19.51111111111111;20.7;-5.7;14;29.43;-52.4;otomoto.pl/osobowe/oferta/audi-a1-110km-android-applecar-gwarancja-polski-salon-i-wlasciciel-ID6GBaNO.html
Audi A1;2012;7.7555555555555555;8.24;-5.9;72;143.8;-49.9;otomoto.pl/osobowe/oferta/audi-a1-1-2tfsi-1wl-od-nowosci-podgrz-fotele-navi-hands-free-nowy-rozrzad-ID6GBLoE.html
Audi A1;2012;7.711111111111112;8.24;-6.4;111;143.8;-22.8;otomoto.pl/osobowe/oferta/audi-a1-audi-a1-2012-1-4-tfsi-122km-ID6GqgK0.html
Audi A1;2023;25.755555555555556;28.75;-10.4;8;10.0;-20.0;otomoto.pl/osobowe/oferta/audi-a1-od-reki-smartphone-sound-system-cyfrowe-zegary-ID6GDylM.html
Audi A1;2011;6.199999999999999;7.19;-13.8;123;177.38;-30.7;otomoto.pl/osobowe/oferta/audi-a1-audi-a1-1-2-tfsi-bialy-perlowy-ID6Gp1Sk.html
Audi A1;2021;17.755555555555556;20.7;-14.2;12;29.43;-59.2;otomoto.pl/osobowe/oferta/audi-a1-a1-30-tfsi-salon-pl-serwis-aso-fv23-ID6GzmWj.html
Audi A1;2012;6.199999999999999;8.24;-24.8;115;143.8;-20.0;otomoto.pl/osobowe/oferta/audi-a1-1-2benz-115tys-km-2xkola-zarejestrowany-super-stan-100-oryginal-ID6GDBAK.html
Audi A1;2012;6.199999999999999;8.24;-24.8;112;143.8;-22.1;otomoto.pl/osobowe/oferta/audi-a1-1-4-t-niski-przebiegmozliwa-zamianasuper-stanzarejestrowane-ID6GnHTp.html
Audi A2;2003;1.5997777777777777;2.15;-25.6;153;217.2;-29.6;otomoto.pl/osobowe/oferta/audi-a2-okazja-1-6-benzyna-bezwypadkowy-ID6GpuDR.html
Audi A3;2004;2.8444444444444446;3.01;-5.5;220;245.3;-10.3;otomoto.pl/osobowe/oferta/audi-a3-8p-1-6-fsi-benzyna-115km-climatronic-idealna-z-niemiec-ID6FLpJk.html
Audi A3;2013;9.777777777777779;10.35;-5.5;92;166.11;-44.6;otomoto.pl/osobowe/oferta/audi-a3-1-4-tfsi-serwis-aso-navi-xenon-bi-xenon-klimatronic-parktronic-ID6GDIQI.html
Audi A3;2007;4.333333333333333;4.59;-5.6;114;208.97;-45.4;otomoto.pl/osobowe/oferta/audi-a3-1-6-85kw-komplet-opon-zimowych-ID6GCnDQ.html
Audi A3;2013;9.755555555555555;10.35;-5.7;131;166.11;-21.1;otomoto.pl/osobowe/oferta/audi-a3-1-4tfsi-122km-climatronic-131tys-km-serwis-ID6GvsE3.html
Audi A3;2013;9.755555555555555;10.35;-5.7;131;166.11;-21.1;otomoto.pl/osobowe/oferta/audi-a3-1-4tfsi-122km-climatronic-131tys-km-serwis-ID6GvsE3.html
Audi A3;2023;27.08888888888889;28.86;-6.1;15;53.72;-72.1;otomoto.pl/osobowe/oferta/audi-a3-35-tfsi-s-tronic-lampyled-smartphoneinterface-asystentparkowania-ID6GB2y1.html
Audi A3;2009;5.311111111111111;5.7;-6.8;125;189.3;-34.0;otomoto.pl/osobowe/oferta/audi-a3-bezwypadkowe-klima-alu-niski-przebieg-zarejestrowane-w-pl-ID6GwKBV.html
Audi A3;2022;24.444444444444443;26.31;-7.1;12;32.83;-63.4;otomoto.pl/osobowe/oferta/audi-a3-s-line-mild-hybrid-gwarancja-ID6GCGCG.html
Audi A3;2022;24.444444444444443;26.31;-7.1;12;32.83;-63.4;otomoto.pl/osobowe/oferta/audi-a3-s-line-mild-hybrid-gwarancja-ID6GCGCG.html
Audi A3;2020;20.555555555555557;22.16;-7.2;44;68.21;-35.5;otomoto.pl/osobowe/oferta/audi-a3-zadbane-audi-a3-1-5-tfsi-2020r-s-tronic-ID6GuJwB.html
Audi A3;2018;15.777777777777779;17.02;-7.3;56;112.94;-50.4;otomoto.pl/osobowe/oferta/audi-a3-audi-a3-sport-back-w-doskonalym-stanie-technicznym-ID6GACRZ.html
Audi A3;2023;26.666666666666668;28.86;-7.6;22;53.72;-59.0;otomoto.pl/osobowe/oferta/audi-a3-jeden-wlasciciel-osoba-prywatna-ID6GzUZJ.html
Audi A3;2023;26.644444444444446;28.86;-7.7;33;53.72;-38.6;otomoto.pl/osobowe/oferta/audi-a3-ID6GAWQ2.html
Audi A3;2023;26.644444444444446;28.86;-7.7;28;53.72;-47.9;otomoto.pl/osobowe/oferta/audi-a3-kamera-apple-car-play-gwarancja-fabryczna-faktura-vat-ID6GxNAT.html
Audi A3;2023;26.644444444444446;28.86;-7.7;28;53.72;-47.9;otomoto.pl/osobowe/oferta/audi-a3-ID6GA0Ft.html
Audi A3;2023;26.644444444444446;28.86;-7.7;26;53.72;-51.6;otomoto.pl/osobowe/oferta/audi-a3-apple-carplay-android-auto-tempomat-salon-pl-gwarancja-do-2027-ID6GzEtv.html
Audi A3;2006;3.755555555555555;4.08;-8.0;199;209.55;-5.0;otomoto.pl/osobowe/oferta/audi-a3-1-6mpi-102km-serwis-zadbana-parktronic-aux-usb-alu-17-ID6GDPJc.html
Audi A3;2006;3.755555555555555;4.08;-8.0;192;209.55;-8.4;otomoto.pl/osobowe/oferta/audi-a3-1-6-ambiente-salon-polska-serwisowany-i-rej-2007-ID6Gsvxw.html
Audi A3;2003;2.3333333333333335;2.54;-8.1;207;229.24;-9.7;otomoto.pl/osobowe/oferta/audi-a3-audi-a3-1-8t-ID6GCfAL.html
Audi A3;2007;4.199999999999999;4.59;-8.5;197;208.97;-5.7;otomoto.pl/osobowe/oferta/audi-a3-1-6mpi-102km-oplacony-ID6GuFmO.html
Audi A3;2019;17.08888888888889;18.67;-8.5;29;69.64;-58.4;otomoto.pl/osobowe/oferta/audi-a3-sportback-8v-ID6GgwVG.html
Audi A3;2014;10.422222222222222;11.44;-8.9;150;168.14;-10.8;otomoto.pl/osobowe/oferta/audi-a3-sportback-1-4-ltr-90-kw-16v-pelny-serwis-ID6GBhk0.html
Audi A3;2016;12.2;13.41;-9.0;85;133.71;-36.4;otomoto.pl/osobowe/oferta/audi-a3-1-4t-125km-bixenon-navi-tempomat-parktronic-grzane-fotele-serwis-aso-ID6GCOAb.html
Audi A3;2010;5.777555555555555;6.37;-9.3;176;196.88;-10.6;otomoto.pl/osobowe/oferta/audi-a3-s-line-lift-ledy-ksiazka-serwis-ID6GBabT.html
Audi A3;2015;12.333333333333334;13.6;-9.3;110;138.3;-20.5;otomoto.pl/osobowe/oferta/audi-a3-audi-a3-1-4-tfsi-125km-sportback-ID6GAGEI.html
Audi A3;2010;5.7555555555555555;6.37;-9.6;183;196.88;-7.0;otomoto.pl/osobowe/oferta/audi-a3-serwisowana-bezwypadkowa-zarejestrowana-ID6GvRYI.html
Audi A3;2015;12.2;13.6;-10.3;97;138.3;-29.9;otomoto.pl/osobowe/oferta/audi-a3-audi-a3-ID6GDBB4.html
Audi A3;2023;25.88888888888889;28.86;-10.3;11;53.72;-79.5;otomoto.pl/osobowe/oferta/audi-a3-35-tfsi-s-tronic-salon-pl-audi-smartphone-interface-i-wlasciciel-ID6GBI4W.html
Audi A3;2023;25.755555555555556;28.86;-10.8;17;53.72;-68.4;otomoto.pl/osobowe/oferta/audi-a3-30-tfsi-mhev-s-tronic-2-lata-gwarancja-pakiet-serwisowy-asisstance-ID6GzJfH.html
Audi A3;2022;23.333333333333332;26.31;-11.3;29;32.83;-11.7;otomoto.pl/osobowe/oferta/audi-a3-audi-a3-limousine-35tfsi-na-gwarancji-ID6GiVyg.html
Audi A3;2002;1.8444444444444446;2.08;-11.3;182;228.08;-20.2;otomoto.pl/osobowe/oferta/audi-a3-audi-a3-8l-1-6-lift-ambiente-ID6GmWel.html
Audi A3;2023;25.533333333333335;28.86;-11.5;13;53.72;-75.8;otomoto.pl/osobowe/oferta/audi-a3-audi-a3-limousine-30-tfsi-s-line-s-tronic-srebrny-ID6GB6MX.html
Audi A3;2021;22.200000000000003;25.13;-11.7;35;49.26;-28.9;otomoto.pl/osobowe/oferta/audi-a3-virtual-cockpit-dynamiczne-kierunkowskazy-led-sportowe-fotele-ID6GD7IE.html
Audi A3;2021;22.200000000000003;25.13;-11.7;35;49.26;-28.9;otomoto.pl/osobowe/oferta/audi-a3-virtual-cockpit-dynamiczne-kierunkowskazy-led-sportowe-fotele-ID6GD7IE.html
Audi A3;2023;25.48888888888889;28.86;-11.7;28;53.72;-47.9;otomoto.pl/osobowe/oferta/audi-a3-ID6Gvzj6.html
Audi A3;2023;25.48888888888889;28.86;-11.7;21;53.72;-60.9;otomoto.pl/osobowe/oferta/audi-a3-ID6GBC4g.html
Audi A3;2008;4.644444444444444;5.3;-12.4;184;200.29;-8.1;otomoto.pl/osobowe/oferta/audi-a3-s-line-turbo-benzyna-klimatyzcja-alu-184-000km-ID6GwJGj.html
Audi A3;2009;4.977777777777778;5.7;-12.7;167;189.3;-11.8;otomoto.pl/osobowe/oferta/audi-a3-lift-klimatronic-parktronic-alu-oplacona-z-niemiec-ID6GuFUf.html
Audi A3;2007;3.9997777777777777;4.59;-12.9;184;208.97;-11.9;otomoto.pl/osobowe/oferta/audi-a3-1-wlasciciel-oryginalne-184-tys-km-super-stan-ID6GCWhX.html
Audi A3;2007;3.9777777777777774;4.59;-13.3;161;208.97;-23.0;otomoto.pl/osobowe/oferta/audi-a3-1-6i-103-ps-mpi-alufelgi-klimatronik-parktronik-stan-bdb-ID6GC6UX.html
Audi A3;2006;3.533333333333333;4.08;-13.4;199;209.55;-5.0;otomoto.pl/osobowe/oferta/audi-a3-1-6-pb-115-km-gwarancja-import-raty-oplaty-aso-ID6GD75k.html
Audi A3;2009;4.933333333333334;5.7;-13.5;153;189.3;-19.2;otomoto.pl/osobowe/oferta/audi-a3-audi-a3-1-8-tfsi-s-line-sportpaket-plus-ID6GB8Qp.html
Audi A3;2004;2.5999999999999996;3.01;-13.6;185;245.3;-24.6;otomoto.pl/osobowe/oferta/audi-a3-audi-a3-1-6-mpi-klimatyzacja-hak-ksenon-2004-przebieg-185tys-autentyk-ID6Gp3Kz.html
Audi A3;2023;24.822222222222223;28.86;-14.0;4;53.72;-92.6;otomoto.pl/osobowe/oferta/audi-a3-35tfsi-s-tronic-salon-pl-1wl-bezwypadkowy-ID6GtVBP.html
Audi A3;2014;9.829777777777778;11.44;-14.1;150;168.14;-10.8;otomoto.pl/osobowe/oferta/audi-a3-audi-a3-1-4-tfsi-ID6Gbf3y.html
Audi A3;2009;4.8886666666666665;5.7;-14.2;175;189.3;-7.6;otomoto.pl/osobowe/oferta/audi-a3-ID6GzRqh.html
Audi A3;2009;4.888888888888889;5.7;-14.2;163;189.3;-13.9;otomoto.pl/osobowe/oferta/audi-a3-ID6GCktL.html
Audi A3;2009;4.888888888888889;5.7;-14.2;163;189.3;-13.9;otomoto.pl/osobowe/oferta/audi-a3-ID6GCktL.html
Audi A3;2009;4.866666666666666;5.7;-14.6;141;189.3;-25.5;otomoto.pl/osobowe/oferta/audi-a3-8plift-1-6-benzynka-ID6Ggd3Y.html
Audi A3;2023;24.644444444444446;28.86;-14.6;23;53.72;-57.2;otomoto.pl/osobowe/oferta/audi-a3-demo-dostepna-od-reki-audi-smartphone-interface-zadzwon-lub-napisz-ID6GpHUT.html
Audi A3;2004;2.5555555555555554;3.01;-15.1;199;245.3;-18.9;otomoto.pl/osobowe/oferta/audi-a3-pierwszy-wlasciciel-1-6-benzyna-climatronic-ID6GCZ5n.html
Audi A3;2023;24.444444444444443;28.86;-15.3;50;53.72;-6.9;otomoto.pl/osobowe/oferta/audi-a3-30-tfsi-mhev-s-tronic-salon-polska-okazja-ID6GCokh.html
Audi A3;2012;6.333333333333333;7.49;-15.4;160;168.91;-5.3;otomoto.pl/osobowe/oferta/audi-a3-ID6GCVoF.html
Audi A3;2023;24.422222222222224;28.86;-15.4;27;53.72;-49.7;otomoto.pl/osobowe/oferta/audi-a3-salon-polska-a3-limousine-pakiet-comfort-tempomat-parking-system-ID6GmQBI.html
Audi A3;2023;24.422222222222224;28.86;-15.4;14;53.72;-73.9;otomoto.pl/osobowe/oferta/audi-a3-30tfsi-110km-led-stronic-virtual-googlecar-ID6Gmtkb.html
Audi A3;2002;1.7555555555555555;2.08;-15.6;200;228.08;-12.3;otomoto.pl/osobowe/oferta/audi-a3-mega-doinwestowany-super-stan-ID6GDqHi.html
Audi A3;2006;3.4444444444444446;4.08;-15.6;162;209.55;-22.7;otomoto.pl/osobowe/oferta/audi-a3-1-6-mpi-3-drzwi-klimatyzacja-alufelgi-ID6GzgB2.html
Audi A3;2020;18.644444444444446;22.16;-15.9;28;68.21;-59.0;otomoto.pl/osobowe/oferta/audi-a3-salon-pl-s-line-virtual-cockpit-oryginal-vat-23-jak-nowy-gwarancja-ID6FIzKa.html
Audi A3;2005;3.3111111111111113;3.94;-16.0;135;223.14;-39.5;otomoto.pl/osobowe/oferta/audi-a3-audi-a3-2-0-benzyna-fsi-150ps-automat-ID6F3bu4.html
Audi A3;2008;4.444222222222222;5.3;-16.1;172;200.29;-14.1;otomoto.pl/osobowe/oferta/audi-a3-lift-klima-elektryka-alu-1-6-mpi-102ps-ledy-grzane-fotel-raty-niemiec-ID6GqSd9.html
Audi A3;2021;21.066666666666666;25.13;-16.2;32;49.26;-35.0;otomoto.pl/osobowe/oferta/audi-a3-salonpl-1wl-bezwyp-gwaran-aso-virualcocpit-klima-bluetooth-ID6FzwBC.html
Audi A3;2010;5.311111111111111;6.37;-16.6;130;196.88;-34.0;otomoto.pl/osobowe/oferta/audi-a3-lift-2010r-1-8-160km-turbo-quattro-climatronic-alufelgi-bezwypadkowy-ID6GAqkB.html
Audi A3;2014;9.530666666666667;11.44;-16.7;119;168.14;-29.2;otomoto.pl/osobowe/oferta/audi-a3-1-4-tfsi-panorama-navi-ID6GACIc.html
Audi A3;2010;5.222222222222222;6.37;-18.0;170;196.88;-13.7;otomoto.pl/osobowe/oferta/audi-a3-led-klimatronic-1-6-mpi-102-km-super-stan-ID6GC9iz.html
Audi A3;2015;11.066666666666666;13.6;-18.6;60;138.3;-56.6;otomoto.pl/osobowe/oferta/audi-a3-sportback-5d-stan-idealny-ID6GAzPd.html
Audi A3;2009;4.622222222222223;5.7;-18.9;166;189.3;-12.3;otomoto.pl/osobowe/oferta/audi-a3-szyberdach-podg-fotele-climatronic-pdc-alufelgi-sliczne-ID6GuyBs.html
Audi A3;2023;23.333333333333332;28.86;-19.1;40;53.72;-25.5;otomoto.pl/osobowe/oferta/audi-a3-stan-wzorowy-z-polskiego-salonu-fv23-ID6GDlm1.html
Audi A3;2017;13.533333333333333;16.84;-19.6;92;120.29;-23.5;otomoto.pl/osobowe/oferta/audi-a3-92-000km-sport-ledy-zadbana-polecam-prywatnie-ID6GCsa5.html
Audi A3;2022;21.0;26.31;-20.2;16;32.83;-51.3;otomoto.pl/osobowe/oferta/audi-a3-salon-polska-automat-bezwypadkowy-ID6GApD5.html
Audi A3;2011;5.977777777777778;7.5;-20.3;149;169.47;-12.1;otomoto.pl/osobowe/oferta/audi-a3-automat-s-tronic-panorama-z-niemiec-bezwypadkowy-ID6GkxrK.html
Audi A3;2004;2.4000000000000004;3.01;-20.3;210;245.3;-14.4;otomoto.pl/osobowe/oferta/audi-a3-klimatyzacja-stan-bardzo-dobry-ID6GAy6h.html
Audi A3;2021;19.999777777777776;25.13;-20.4;16;49.26;-67.5;otomoto.pl/osobowe/oferta/audi-a3-salon-polska-stan-fabryczny-tylko-16500-km-ID6GAg9e.html
Audi A3;2003;2.0;2.54;-21.3;188;229.24;-18.0;otomoto.pl/osobowe/oferta/audi-a3-salon-pl-1-wl-bezwypadkowy-serwis-kilma-zamiana-ID6Gzy0l.html
Audi A3;2010;4.977777777777778;6.37;-21.9;186;196.88;-5.5;otomoto.pl/osobowe/oferta/audi-a3-liftledksenonparktronikiklimatronik-ID6GneYf.html
Audi A3;2006;3.177777777777778;4.08;-22.1;190;209.55;-9.3;otomoto.pl/osobowe/oferta/audi-a3-1-6-102-km-bezwypadkowa-ID6GCVL9.html
Audi A3;2009;4.422222222222222;5.7;-22.4;150;189.3;-20.8;otomoto.pl/osobowe/oferta/audi-a3-audi-a3-1-8-tfsi-160-km-regularnie-serwisowany-150-662-km-przebiegu-ID6GbAxy.html
Audi A3;2023;22.22222222222222;28.86;-23.0;11;53.72;-79.5;otomoto.pl/osobowe/oferta/audi-a3-audi-a3-sportback-1-0-tfsi-81kw110-km-ID6GqesL.html
Audi A3;2002;1.5555555555555556;2.08;-25.2;205;228.08;-10.1;otomoto.pl/osobowe/oferta/audi-a3-8l-1-6-benzyna-102-km-zadbana-ID6GDrvO.html
Audi A3;2018;12.133333333333333;17.02;-28.7;88;112.94;-22.1;otomoto.pl/osobowe/oferta/audi-a3-automat-fotochromy-quattro-kamera-cofania-led-ID6GCQCp.html
Audi A3;2003;1.7777777777777777;2.54;-30.0;200;229.24;-12.8;otomoto.pl/osobowe/oferta/audi-a3-benzynka-1-6-mpi-102-km-idealny-pod-lpg-ID6GDNiF.html
Audi A3;2016;9.333111111111112;13.41;-30.4;101;133.71;-24.5;otomoto.pl/osobowe/oferta/audi-a3-sportback-xenon-aso-fv23-ID6GDNCk.html
Audi A3;2003;1.7555555555555555;2.54;-30.9;177;229.24;-22.8;otomoto.pl/osobowe/oferta/audi-a3-1-6-177-tys-km-ID6GBo5f.html
Audi A3;2007;3.088888888888889;4.59;-32.7;195;208.97;-6.7;otomoto.pl/osobowe/oferta/audi-a3-audi-a3-8p-1-6-8v-benzynka-stan-bardzo-dobry-ID6GDbl3.html
Audi A3;2001;1.2222222222222223;1.97;-38.0;230;253.4;-9.2;otomoto.pl/osobowe/oferta/audi-a3-audi-a3-8l-2001r-1-6-benzyna-ID6Guxjw.html
Audi A4;2003;3.066666666666667;3.23;-5.1;219;248.39;-11.8;otomoto.pl/osobowe/oferta/audi-a4-2-0-benz-klima-alufelgi-po-oplatach-z-niemiec-ID6Gn4y8.html
Audi A4;2010;6.866666666666666;7.28;-5.7;180;196.94;-8.6;otomoto.pl/osobowe/oferta/audi-a4-s-line-nawigacja-kamera-cofania-bi-xenon-full-led-panorama-ID6GBtTp.html
Audi A4;2010;6.866666666666666;7.28;-5.7;112;196.94;-43.1;otomoto.pl/osobowe/oferta/audi-a4-112-tys-przebiegu-auto-z-niemiec-super-stan-ID6GbqDB.html
Audi A4;2017;18.0;19.13;-5.9;127;140.7;-9.7;otomoto.pl/osobowe/oferta/audi-a4-audi-a4-ID6GBiRv.html
