#zaimki i słowa gramatyczne
ich;ja
das Handy;telefon komórkowy
die Zeitung;gazeta
der Zug;pociąg
das Flugzeug;samolot
das Fahrrad;rower
#przymiotniki (dalsze)
hell;jasny
dunkel;ciemny
weich;miękki
hart;twardy
freundlich;przyjazny
unfreundlich;nieprzyjazny
ruhig;spokojny
nervös;nerwowy
stark;silny
schwach;słaby
gesund;zdrowy
krank;chory
glücklich;szczęśliwy
traurig;smutny
interessant;interesujący
langweilig;nudny
#przysłówki
jetzt;teraz
bald;wkrótce
gestern;wczoraj
heute;dzisiaj
morgen;jutro
draußen;na zewnątrz
drinnen;wewnątrz
oben;na górze
unten;na dole
hier;tutaj
dort;tam
schnell;szybko
langsam;powoli
viel;dużo
wenig;mało
#przyimki (dalsze)
ohne;bez
gegen;przeciwko
für;dla
durch;przez
bis;do
nach;po
von;od
zu;do
aus;z (czegoś)
bei;przy
über;nad
#dalsze słowa i zwroty
ja;tak
nein;nie
bitte;proszę
danke;dziękuję
entschuldigung;przepraszam
hallo;cześć
tschüss;pa
guten Morgen;dzień dobry (rano)
guten Tag;dzień dobry
guten Abend;dobry wieczór
gute Nacht;dobranoc
wie geht's?;jak się masz?
mir geht's gut;mam się dobrze
und dir?;a ty?
was ist das?;co to jest?
ich verstehe nicht;nie rozumiem
können Sie helfen?;czy może Pan/Pani pomóc?
wo ist...?;gdzie jest...?
ich brauche...;potrzebuję...
#;
#czasowniki (dalsze)
arbeiten;pracować
spielen;grać
rufen;wołać
zeigen;pokazywać
laufen;chodzić
nehmen;brać
vergessen;zapominać
bezahlen;płacić
#rzeczowniki (dalsze)
das Auto;samochód
der Baum;drzewo
die Blume;kwiat
das Haus;dom
die Straße;ulica
die Stadt;miasto
das Dorf;wieś
die Tür;drzwi
das Fenster;okno
der Tisch;stół
der Stuhl;krzesło
das Bett;łóżko
#przymiotniki (dalsze)
klug;mądry
dumm;głupi
glatt;gładki
rau;szorstki
bunt;kolorowy
einfach;prosty
schwierig;trudny
hoch;wysoki
niedrig;niski
#przysłówki (dalsze)
immer;zawsze
oft;często
manchmal;czasami
selten;rzadko
nie;nigdy
genau;dokładnie
fast;prawie
sogar;nawet
natürlich;oczywiście
#przyimki (dalsze)
neben;obok
vor;przed
hinter;za
zwischen;pomiędzy
unter;pod
während;podczas
trotz;mimo
wegen;z powodu
#dalsze słowa i zwroty
alles klar;wszystko jasne
es tut mir leid;przykro mi
keine Ahnung;nie mam pojęcia
pass auf!;uważaj!
viel Glück!;powodzenia!
bis später;do zobaczenia
herzlich willkommen;serdecznie witamy
kann ich helfen?;czy mogę pomóc?
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
#;
